========================================================================================================================
  МУЛЬТИВАЛЮТНЫЙ МУЛЬТИТАЙМФРЕЙМ-АНАЛИЗ
  Биржа: binance | 442 монет | 2026-07-05 11:50:57
========================================================================================================================

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Монета           5м    15м    30м     1ч     4ч     1д  Средняя Стакан  ИТОГО
  XLMUSDT      🟡52.9 🔴39.4 🔴33.1 🟠33.9 🟠49.9 🟢52.5    +0.0      🟢      ⚪
  XNOUSDT      🔴42.4 🔴38.0 🔴31.9 🟠29.6 🟠46.8 🔴40.9    -0.8      🟢      🔴
  XPLUSDT      🟢52.1 🟡52.0 🔴47.7 🟠47.7 🟢56.7 🟢57.4    +1.7      🔴      ⚪
  XRPUSDT      🟢58.8 🟡50.3 🔴43.6 🟠45.5 🟢62.0 🟡51.9    +1.3      🟢      ⚪
  XTZUSDT      🟢55.6 🟢60.5 🟢66.1 🟢66.6 🟢75.4 🟡57.0    +2.8      ⚪      🟢
  XUSDUSDT     🟠50.1 🟢54.9 🟢57.6 🟡55.4 🔴46.2 🟠47.4    +1.5      🔴      ⚪
  XVGUSDT      🟡62.3 🟡50.8 🔴44.4 🔴41.5 🔴47.9 🔴38.5    -0.3      🔴      🔴
  XVSUSDT      🟢64.2 🟡50.9 🔴44.9 🟠44.1 🟢52.2 🔴49.1    +1.2      ⚪      ⚪
  YBUSDT       🟠49.2 🟡53.7 🟡51.3 🟠49.4 🟢60.2 🔴46.8    +0.8      ⚪      ⚪
  YFIUSDT      🟡51.6 🔴45.4 🔴40.6 🟠40.4 🟢58.0 🟡47.5    +0.8      ⚪      ⚪
  YGGUSDT      🟢59.1 🟡50.4 🔴40.2 🔴38.5 🟠48.0 🔴38.3    +0.3      ⚪      ⚪
  ZAMAUSDT     🟡58.2 🔴44.6 🔴40.3 🔴39.4 🟠43.9 🟠49.0    -0.7      ⚪      🔴
  ZBTUSDT      🔴37.6 🟠43.7 🔴46.2 🔴45.8 🟠50.7 🟡55.7    -0.3      ⚪      🔴
  ZECUSDT      🟢63.6 🟡56.5 🟡50.2 🟠48.6 🟢60.7 🟡52.6    +2.0      ⚪      🟢
  ZENUSDT      🔴47.4 🔴42.1 🔴38.3 🟠39.0 🟢52.0 🔴43.9    -0.8      ⚪      🔴
  ZILUSDT      🟢57.7 🟡51.5 🟠47.5 🟠49.7 🟢61.7 🟡49.6    +1.8      ⚪      ⚪
  ZKCUSDT      🔴29.9 🔴36.9 🔴38.3 🟠41.8 🟢54.0 🔴43.1    -1.0      ⚪      🔴
  ZKPUSDT      🟠50.6 🟢57.1 🟡55.2 🟡48.7 🟢51.6 🟡48.5    +2.3      🟢      🟢
  ZKUSDT       🟢68.8 🟢67.3 🟢65.2 🟢60.9 🟢60.9 🟡47.1    +2.7      🟢      🟢
  ZROUSDT      🟢66.6 🟢69.0 🟢62.8 🟢61.6 🟢65.0 🟡50.5    +2.3      ⚪      🟢
  ZRXUSDT      🟡55.4 🔴48.1 🟠48.6 🟢53.5 🟢67.6 🟡59.4    +1.3      ⚪      ⚪
  币安人生USDT     🟢66.2 🟡58.8 🟢55.7 🟢58.3 🟢63.3 🟢61.8    +2.7      🟢      🟢
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────

========================================================================================================================
  РЕЙТИНГ ПО СРЕДНЕЙ ОЦЕНКЕ
========================================================================================================================

  #    Монета       Оценка Сигнал                      
  ────────────────────────────────────────────────────────────
  1    ALICEUSDT      +3.7 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  2    EWYBUSDT       +3.2 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  3    CELOUSDT       +3.2 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  4    PROVEUSDT      +3.2 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  5    BTTCUSDT       +3.0 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  6    CRCLBUSDT      +3.0 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  7    DEXEUSDT       +3.0 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  8    DOGSUSDT       +3.0 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  9    EULUSDT        +3.0 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  10   EURIUSDT       +3.0 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  11   GUSDT          +3.0 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  12   IDUSDT         +3.0 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  13   IQUSDT         +3.0 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  14   ONGUSDT        +3.0 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  15   RUNEUSDT       +3.0 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  16   SUSDT          +3.0 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  17   TURBOUSDT      +3.0 🟢🟢 КАТЕГОРИЧЕСКИ ПОКУПАТЬ
  18   BANANAS31USDT   +2.8 🟢 ПОКУПАТЬ
  19   BEAMXUSDT      +2.8 🟢 ПОКУПАТЬ
  20   BTCUSDT        +2.8 🟢 ПОКУПАТЬ
  21   GNOUSDT        +2.8 🟢 ПОКУПАТЬ
  22   GUNUSDT        +2.8 🟢 ПОКУПАТЬ
  23   JUVUSDT        +2.8 🟢 ПОКУПАТЬ
  24   PYTHUSDT       +2.8 🟢 ПОКУПАТЬ
  25   QKCUSDT        +2.8 🟢 ПОКУПАТЬ
  26   RIFUSDT        +2.8 🟢 ПОКУПАТЬ
  27   WBTCUSDT       +2.8 🟢 ПОКУПАТЬ
  28   XTZUSDT        +2.8 🟢 ПОКУПАТЬ
  29   AAVEUSDT       +2.7 🟢 ПОКУПАТЬ
  30   BANANAUSDT     +2.7 🟢 ПОКУПАТЬ
  31   BANDUSDT       +2.7 🟢 ПОКУПАТЬ
  32   BARUSDT        +2.7 🟢 ПОКУПАТЬ
  33   BNTUSDT        +2.7 🟢 ПОКУПАТЬ
  34   CFGUSDT        +2.7 🟢 ПОКУПАТЬ
  35   GIGGLEUSDT     +2.7 🟢 ПОКУПАТЬ
  36   KAVAUSDT       +2.7 🟢 ПОКУПАТЬ
  37   MBLUSDT        +2.7 🟢 ПОКУПАТЬ
  38   MIRAUSDT       +2.7 🟢 ПОКУПАТЬ
  39   OGUSDT         +2.7 🟢 ПОКУПАТЬ
  40   ONTUSDT        +2.7 🟢 ПОКУПАТЬ
  41   PAXGUSDT       +2.7 🟢 ПОКУПАТЬ
  42   PIVXUSDT       +2.7 🟢 ПОКУПАТЬ
  43   TLMUSDT        +2.7 🟢 ПОКУПАТЬ
  44   VICUSDT        +2.7 🟢 ПОКУПАТЬ
  45   ZKUSDT         +2.7 🟢 ПОКУПАТЬ
  46   币安人生USDT       +2.7 🟢 ПОКУПАТЬ
  47   MSTRBUSDT      +2.6 🟢 ПОКУПАТЬ
  48   TSLABUSDT      +2.6 🟢 ПОКУПАТЬ
  49   AIGENSYNUSDT   +2.5 🟢 ПОКУПАТЬ
  50   COOKIEUSDT     +2.5 🟢 ПОКУПАТЬ
  51   GASUSDT        +2.5 🟢 ПОКУПАТЬ
  52   HUMAUSDT       +2.5 🟢 ПОКУПАТЬ
  53   KMNOUSDT       +2.5 🟢 ПОКУПАТЬ
  54   MANAUSDT       +2.5 🟢 ПОКУПАТЬ
  55   MASKUSDT       +2.5 🟢 ПОКУПАТЬ
  56   MINAUSDT       +2.5 🟢 ПОКУПАТЬ
  57   OPGUSDT        +2.5 🟢 ПОКУПАТЬ
  58   PNUTUSDT       +2.5 🟢 ПОКУПАТЬ
  59   PSGUSDT        +2.5 🟢 ПОКУПАТЬ
  60   WLFIUSDT       +2.5 🟢 ПОКУПАТЬ
  61   METABUSDT      +2.4 🟢 ПОКУПАТЬ
  62   ACMUSDT        +2.3 🟢 ПОКУПАТЬ
  63   ADAUSDT        +2.3 🟢 ПОКУПАТЬ
  64   AUSDT          +2.3 🟢 ПОКУПАТЬ
  65   BCHUSDT        +2.3 🟢 ПОКУПАТЬ
  66   CITYUSDT       +2.3 🟢 ПОКУПАТЬ
  67   ETHFIUSDT      +2.3 🟢 ПОКУПАТЬ
  68   GLMRUSDT       +2.3 🟢 ПОКУПАТЬ
  69   HOTUSDT        +2.3 🟢 ПОКУПАТЬ
  70   JUPUSDT        +2.3 🟢 ПОКУПАТЬ
  71   MORPHOUSDT     +2.3 🟢 ПОКУПАТЬ
  72   SOMIUSDT       +2.3 🟢 ПОКУПАТЬ
  73   TRXUSDT        +2.3 🟢 ПОКУПАТЬ
  74   TUSDUSDT       +2.3 🟢 ПОКУПАТЬ
  75   ZKPUSDT        +2.3 🟢 ПОКУПАТЬ
  76   ZROUSDT        +2.3 🟢 ПОКУПАТЬ
  77   NVDABUSDT      +2.2 🟢 ПОКУПАТЬ
  78   1000CHEEMSUSDT   +2.2 🟢 ПОКУПАТЬ
  79   1INCHUSDT      +2.2 🟢 ПОКУПАТЬ
  80   2ZUSDT         +2.2 🟢 ПОКУПАТЬ
  81   ANIMEUSDT      +2.2 🟢 ПОКУПАТЬ
  82   ASTERUSDT      +2.2 🟢 ПОКУПАТЬ
  83   BATUSDT        +2.2 🟢 ПОКУПАТЬ
  84   BREVUSDT       +2.2 🟢 ПОКУПАТЬ
  85   CKBUSDT        +2.2 🟢 ПОКУПАТЬ
  86   DODOUSDT       +2.2 🟢 ПОКУПАТЬ
  87   MITOUSDT       +2.2 🟢 ПОКУПАТЬ
  88   QIUSDT         +2.2 🟢 ПОКУПАТЬ
  89   SAPIENUSDT     +2.2 🟢 ПОКУПАТЬ
  90   TOWNSUSDT      +2.2 🟢 ПОКУПАТЬ
  91   USTCUSDT       +2.2 🟢 ПОКУПАТЬ
  92   VIRTUALUSDT    +2.2 🟢 ПОКУПАТЬ
  93   XAUTUSDT       +2.2 🟢 ПОКУПАТЬ
  94   1MBABYDOGEUSDT   +2.0 🟢 ПОКУПАТЬ
  95   BANKUSDT       +2.0 🟢 ПОКУПАТЬ
  96   BELUSDT        +2.0 🟢 ПОКУПАТЬ
  97   EIGENUSDT      +2.0 🟢 ПОКУПАТЬ
  98   GPSUSDT        +2.0 🟢 ПОКУПАТЬ
  99   IOUSDT         +2.0 🟢 ПОКУПАТЬ
  100  MUBARAKUSDT    +2.0 🟢 ПОКУПАТЬ
  101  PEOPLEUSDT     +2.0 🟢 ПОКУПАТЬ
  102  PLTRBUSDT      +2.0 🟢 ПОКУПАТЬ
  103  QUICKUSDT      +2.0 🟢 ПОКУПАТЬ
  104  SYRUPUSDT      +2.0 🟢 ПОКУПАТЬ
  105  TSTUSDT        +2.0 🟢 ПОКУПАТЬ
  106  UNIUSDT        +2.0 🟢 ПОКУПАТЬ
  107  USDSUSDT       +2.0 🟢 ПОКУПАТЬ
  108  WBETHUSDT      +2.0 🟢 ПОКУПАТЬ
  109  ZECUSDT        +2.0 🟢 ПОКУПАТЬ
  110  BNBUSDT        +1.8 🟢 СЛАБО ПОКУПАТЬ
  111  ETHUSDT        +1.8 🟢 СЛАБО ПОКУПАТЬ
  112  LTCUSDT        +1.8 🟢 СЛАБО ПОКУПАТЬ
  113  MEMEUSDT       +1.8 🟢 СЛАБО ПОКУПАТЬ
  114  POWRUSDT       +1.8 🟢 СЛАБО ПОКУПАТЬ
  115  RESOLVUSDT     +1.8 🟢 СЛАБО ПОКУПАТЬ
  116  TUTUSDT        +1.8 🟢 СЛАБО ПОКУПАТЬ
  117  USD1USDT       +1.8 🟢 СЛАБО ПОКУПАТЬ
  118  ZILUSDT        +1.8 🟢 СЛАБО ПОКУПАТЬ
  119  CAKEUSDT       +1.7 🟢 СЛАБО ПОКУПАТЬ
  120  CETUSUSDT      +1.7 🟢 СЛАБО ПОКУПАТЬ
  121  CHZUSDT        +1.7 🟢 СЛАБО ПОКУПАТЬ
  122  DASHUSDT       +1.7 🟢 СЛАБО ПОКУПАТЬ
  123  FLOKIUSDT      +1.7 🟢 СЛАБО ПОКУПАТЬ
  124  HEMIUSDT       +1.7 🟢 СЛАБО ПОКУПАТЬ
  125  HOLOUSDT       +1.7 🟢 СЛАБО ПОКУПАТЬ
  126  JOEUSDT        +1.7 🟢 СЛАБО ПОКУПАТЬ
  127  LDOUSDT        +1.7 🟢 СЛАБО ПОКУПАТЬ
  128  LINKUSDT       +1.7 🟢 СЛАБО ПОКУПАТЬ
  129  OPENUSDT       +1.7 🟢 СЛАБО ПОКУПАТЬ
  130  PORTALUSDT     +1.7 🟢 СЛАБО ПОКУПАТЬ
  131  REDUSDT        +1.7 🟢 СЛАБО ПОКУПАТЬ
  132  SUNUSDT        +1.7 🟢 СЛАБО ПОКУПАТЬ
  133  XPLUSDT        +1.7 🟢 СЛАБО ПОКУПАТЬ
  134  ACXUSDT        +1.5 🟢 СЛАБО ПОКУПАТЬ
  135  AEVOUSDT       +1.5 🟢 СЛАБО ПОКУПАТЬ
  136  ATUSDT         +1.5 🟢 СЛАБО ПОКУПАТЬ
  137  FIDAUSDT       +1.5 🟢 СЛАБО ПОКУПАТЬ
  138  GTCUSDT        +1.5 🟢 СЛАБО ПОКУПАТЬ
  139  HMSTRUSDT      +1.5 🟢 СЛАБО ПОКУПАТЬ
  140  HOMEUSDT       +1.5 🟢 СЛАБО ПОКУПАТЬ
  141  NFPUSDT        +1.5 🟢 СЛАБО ПОКУПАТЬ
  142  PENGUUSDT      +1.5 🟢 СЛАБО ПОКУПАТЬ
  143  USDEUSDT       +1.5 🟢 СЛАБО ПОКУПАТЬ
  144  VANRYUSDT      +1.5 🟢 СЛАБО ПОКУПАТЬ
  145  XUSDUSDT       +1.5 🟢 СЛАБО ПОКУПАТЬ
  146  SNDKBUSDT      +1.4 🟢 СЛАБО ПОКУПАТЬ
  147  SPCXBUSDT      +1.4 🟢 СЛАБО ПОКУПАТЬ
  148  ARKMUSDT       +1.3 🟢 СЛАБО ПОКУПАТЬ
  149  ARKUSDT        +1.3 🟢 СЛАБО ПОКУПАТЬ
  150  ASTRUSDT       +1.3 🟢 СЛАБО ПОКУПАТЬ
  151  BFUSDUSDT      +1.3 🟢 СЛАБО ПОКУПАТЬ
  152  BNSOLUSDT      +1.3 🟢 СЛАБО ПОКУПАТЬ
  153  BROCCOLI714USDT   +1.3 🟢 СЛАБО ПОКУПАТЬ
  154  C98USDT        +1.3 🟢 СЛАБО ПОКУПАТЬ
  155  CYBERUSDT      +1.3 🟢 СЛАБО ПОКУПАТЬ
  156  DOLOUSDT       +1.3 🟢 СЛАБО ПОКУПАТЬ
  157  DYMUSDT        +1.3 🟢 СЛАБО ПОКУПАТЬ
  158  HBARUSDT       +1.3 🟢 СЛАБО ПОКУПАТЬ
  159  ICPUSDT        +1.3 🟢 СЛАБО ПОКУПАТЬ
  160  KAIAUSDT       +1.3 🟢 СЛАБО ПОКУПАТЬ
  161  KITEUSDT       +1.3 🟢 СЛАБО ПОКУПАТЬ
  162  LUMIAUSDT      +1.3 🟢 СЛАБО ПОКУПАТЬ
  163  NIGHTUSDT      +1.3 🟢 СЛАБО ПОКУПАТЬ
  164  NOTUSDT        +1.3 🟢 СЛАБО ПОКУПАТЬ
  165  ORCAUSDT       +1.3 🟢 СЛАБО ПОКУПАТЬ
  166  STEEMUSDT      +1.3 🟢 СЛАБО ПОКУПАТЬ
  167  UMAUSDT        +1.3 🟢 СЛАБО ПОКУПАТЬ
  168  UUSDT          +1.3 🟢 СЛАБО ПОКУПАТЬ
  169  VELODROMEUSDT   +1.3 🟢 СЛАБО ПОКУПАТЬ
  170  XRPUSDT        +1.3 🟢 СЛАБО ПОКУПАТЬ
  171  ZRXUSDT        +1.3 🟢 СЛАБО ПОКУПАТЬ
  172  ALGOUSDT       +1.2 🟢 СЛАБО ПОКУПАТЬ
  173  APTUSDT        +1.2 🟢 СЛАБО ПОКУПАТЬ
  174  AVNTUSDT       +1.2 🟢 СЛАБО ПОКУПАТЬ
  175  COMPUSDT       +1.2 🟢 СЛАБО ПОКУПАТЬ
  176  ENAUSDT        +1.2 🟢 СЛАБО ПОКУПАТЬ
  177  FRAXUSDT       +1.2 🟢 СЛАБО ПОКУПАТЬ
  178  LSKUSDT        +1.2 🟢 СЛАБО ПОКУПАТЬ
  179  NEOUSDT        +1.2 🟢 СЛАБО ПОКУПАТЬ
  180  NILUSDT        +1.2 🟢 СЛАБО ПОКУПАТЬ
  181  NOMUSDT        +1.2 🟢 СЛАБО ПОКУПАТЬ
  182  OPNUSDT        +1.2 🟢 СЛАБО ПОКУПАТЬ
  183  POLUSDT        +1.2 🟢 СЛАБО ПОКУПАТЬ
  184  QTUMUSDT       +1.2 🟢 СЛАБО ПОКУПАТЬ
  185  SUIUSDT        +1.2 🟢 СЛАБО ПОКУПАТЬ
  186  SYNUSDT        +1.2 🟢 СЛАБО ПОКУПАТЬ
  187  TIAUSDT        +1.2 🟢 СЛАБО ПОКУПАТЬ
  188  XVSUSDT        +1.2 🟢 СЛАБО ПОКУПАТЬ
  189  ALPINEUSDT     +1.0 🟢 СЛАБО ПОКУПАТЬ
  190  API3USDT       +1.0 🟢 СЛАБО ПОКУПАТЬ
  191  CRVUSDT        +1.0 🟢 СЛАБО ПОКУПАТЬ
  192  CVXUSDT        +1.0 🟢 СЛАБО ПОКУПАТЬ
  193  ENSUSDT        +1.0 🟢 СЛАБО ПОКУПАТЬ
  194  HEIUSDT        +1.0 🟢 СЛАБО ПОКУПАТЬ
  195  JASMYUSDT      +1.0 🟢 СЛАБО ПОКУПАТЬ
  196  JSTUSDT        +1.0 🟢 СЛАБО ПОКУПАТЬ
  197  OPUSDT         +1.0 🟢 СЛАБО ПОКУПАТЬ
  198  RAREUSDT       +1.0 🟢 СЛАБО ПОКУПАТЬ
  199  SENTUSDT       +1.0 🟢 СЛАБО ПОКУПАТЬ
  200  SPKUSDT        +1.0 🟢 СЛАБО ПОКУПАТЬ
  201  STOUSDT        +1.0 🟢 СЛАБО ПОКУПАТЬ
  202  1000CATUSDT    +0.8 ⚪ НЕЙТРАЛЬНО
  203  ACHUSDT        +0.8 ⚪ НЕЙТРАЛЬНО
  204  ALTUSDT        +0.8 ⚪ НЕЙТРАЛЬНО
  205  ANKRUSDT       +0.8 ⚪ НЕЙТРАЛЬНО
  206  BMTUSDT        +0.8 ⚪ НЕЙТРАЛЬНО
  207  KAITOUSDT      +0.8 ⚪ НЕЙТРАЛЬНО
  208  KSMUSDT        +0.8 ⚪ НЕЙТРАЛЬНО
  209  PENDLEUSDT     +0.8 ⚪ НЕЙТРАЛЬНО
  210  PLUMEUSDT      +0.8 ⚪ НЕЙТРАЛЬНО
  211  PUNDIXUSDT     +0.8 ⚪ НЕЙТРАЛЬНО
  212  RADUSDT        +0.8 ⚪ НЕЙТРАЛЬНО
  213  REQUSDT        +0.8 ⚪ НЕЙТРАЛЬНО
  214  THEUSDT        +0.8 ⚪ НЕЙТРАЛЬНО
  215  VETUSDT        +0.8 ⚪ НЕЙТРАЛЬНО
  216  WUSDT          +0.8 ⚪ НЕЙТРАЛЬНО
  217  YBUSDT         +0.8 ⚪ НЕЙТРАЛЬНО
  218  YFIUSDT        +0.8 ⚪ НЕЙТРАЛЬНО
  219  ACEUSDT        +0.7 ⚪ НЕЙТРАЛЬНО
  220  ACTUSDT        +0.7 ⚪ НЕЙТРАЛЬНО
  221  ALCXUSDT       +0.7 ⚪ НЕЙТРАЛЬНО
  222  DOTUSDT        +0.7 ⚪ НЕЙТРАЛЬНО
  223  FLOWUSDT       +0.7 ⚪ НЕЙТРАЛЬНО
  224  ICXUSDT        +0.7 ⚪ НЕЙТРАЛЬНО
  225  IMXUSDT        +0.7 ⚪ НЕЙТРАЛЬНО
  226  MANTAUSDT      +0.7 ⚪ НЕЙТРАЛЬНО
  227  METISUSDT      +0.7 ⚪ НЕЙТРАЛЬНО
  228  MTLUSDT        +0.7 ⚪ НЕЙТРАЛЬНО
  229  NEWTUSDT       +0.7 ⚪ НЕЙТРАЛЬНО
  230  PUMPUSDT       +0.7 ⚪ НЕЙТРАЛЬНО
  231  RLUSDUSDT      +0.7 ⚪ НЕЙТРАЛЬНО
  232  SLPUSDT        +0.7 ⚪ НЕЙТРАЛЬНО
  233  STRKUSDT       +0.7 ⚪ НЕЙТРАЛЬНО
  234  TFUELUSDT      +0.7 ⚪ НЕЙТРАЛЬНО
  235  ARBUSDT        +0.5 ⚪ НЕЙТРАЛЬНО
  236  AUDIOUSDT      +0.5 ⚪ НЕЙТРАЛЬНО
  237  BIOUSDT        +0.5 ⚪ НЕЙТРАЛЬНО
  238  CHRUSDT        +0.5 ⚪ НЕЙТРАЛЬНО
  239  DGBUSDT        +0.5 ⚪ НЕЙТРАЛЬНО
  240  ENJUSDT        +0.5 ⚪ НЕЙТРАЛЬНО
  241  ENSOUSDT       +0.5 ⚪ НЕЙТРАЛЬНО
  242  FOGOUSDT       +0.5 ⚪ НЕЙТРАЛЬНО
  243  FORMUSDT       +0.5 ⚪ НЕЙТРАЛЬНО
  244  FUSDT          +0.5 ⚪ НЕЙТРАЛЬНО
  245  GMXUSDT        +0.5 ⚪ НЕЙТРАЛЬНО
  246  GRAMUSDT       +0.5 ⚪ НЕЙТРАЛЬНО
  247  IOSTUSDT       +0.5 ⚪ НЕЙТРАЛЬНО
  248  NMRUSDT        +0.5 ⚪ НЕЙТРАЛЬНО
  249  VTHOUSDT       +0.5 ⚪ НЕЙТРАЛЬНО
  250  XECUSDT        +0.5 ⚪ НЕЙТРАЛЬНО
  251  APEUSDT        +0.3 ⚪ НЕЙТРАЛЬНО
  252  AVAUSDT        +0.3 ⚪ НЕЙТРАЛЬНО
  253  AXLUSDT        +0.3 ⚪ НЕЙТРАЛЬНО
  254  BICOUSDT       +0.3 ⚪ НЕЙТРАЛЬНО
  255  BONKUSDT       +0.3 ⚪ НЕЙТРАЛЬНО
  256  CUSDT          +0.3 ⚪ НЕЙТРАЛЬНО
  257  ILVUSDT        +0.3 ⚪ НЕЙТРАЛЬНО
  258  MOVRUSDT       +0.3 ⚪ НЕЙТРАЛЬНО
  259  NEIROUSDT      +0.3 ⚪ НЕЙТРАЛЬНО
  260  ONEUSDT        +0.3 ⚪ НЕЙТРАЛЬНО
  261  PEPEUSDT       +0.3 ⚪ НЕЙТРАЛЬНО
  262  RPLUSDT        +0.3 ⚪ НЕЙТРАЛЬНО
  263  SANDUSDT       +0.3 ⚪ НЕЙТРАЛЬНО
  264  STXUSDT        +0.3 ⚪ НЕЙТРАЛЬНО
  265  YGGUSDT        +0.3 ⚪ НЕЙТРАЛЬНО
  266  AMPUSDT        +0.2 ⚪ НЕЙТРАЛЬНО
  267  BARDUSDT       +0.2 ⚪ НЕЙТРАЛЬНО
  268  BOMEUSDT       +0.2 ⚪ НЕЙТРАЛЬНО
  269  CTKUSDT        +0.2 ⚪ НЕЙТРАЛЬНО
  270  CTSIUSDT       +0.2 ⚪ НЕЙТРАЛЬНО
  271  EDENUSDT       +0.2 ⚪ НЕЙТРАЛЬНО
  272  FTTUSDT        +0.2 ⚪ НЕЙТРАЛЬНО
  273  KERNELUSDT     +0.2 ⚪ НЕЙТРАЛЬНО
  274  LAYERUSDT      +0.2 ⚪ НЕЙТРАЛЬНО
  275  LINEAUSDT      +0.2 ⚪ НЕЙТРАЛЬНО
  276  LQTYUSDT       +0.2 ⚪ НЕЙТРАЛЬНО
  277  PARTIUSDT      +0.2 ⚪ НЕЙТРАЛЬНО
  278  PHAUSDT        +0.2 ⚪ НЕЙТРАЛЬНО
  279  RLCUSDT        +0.2 ⚪ НЕЙТРАЛЬНО
  280  ROSEUSDT       +0.2 ⚪ НЕЙТРАЛЬНО
  281  SNXUSDT        +0.2 ⚪ НЕЙТРАЛЬНО
  282  SSVUSDT        +0.2 ⚪ НЕЙТРАЛЬНО
  283  TKOUSDT        +0.2 ⚪ НЕЙТРАЛЬНО
  284  TRBUSDT        +0.2 ⚪ НЕЙТРАЛЬНО
  285  TUSDT          +0.2 ⚪ НЕЙТРАЛЬНО
  286  ALLOUSDT       +0.0 ⚪ НЕЙТРАЛЬНО
  287  AMDBUSDT       +0.0 ⚪ НЕЙТРАЛЬНО
  288  AVAXUSDT       +0.0 ⚪ НЕЙТРАЛЬНО
  289  CVCUSDT        +0.0 ⚪ НЕЙТРАЛЬНО
  290  EPICUSDT       +0.0 ⚪ НЕЙТРАЛЬНО
  291  FILUSDT        +0.0 ⚪ НЕЙТРАЛЬНО
  292  GMTUSDT        +0.0 ⚪ НЕЙТРАЛЬНО
  293  GNSUSDT        +0.0 ⚪ НЕЙТРАЛЬНО
  294  HAEDALUSDT     +0.0 ⚪ НЕЙТРАЛЬНО
  295  MANTRAUSDT     +0.0 ⚪ НЕЙТРАЛЬНО
  296  MOVEUSDT       +0.0 ⚪ НЕЙТРАЛЬНО
  297  MUBUSDT        +0.0 ⚪ НЕЙТРАЛЬНО
  298  PIXELUSDT      +0.0 ⚪ НЕЙТРАЛЬНО
  299  POLYXUSDT      +0.0 ⚪ НЕЙТРАЛЬНО
  300  RENDERUSDT     +0.0 ⚪ НЕЙТРАЛЬНО
  301  RSRUSDT        +0.0 ⚪ НЕЙТРАЛЬНО
  302  SPELLUSDT      +0.0 ⚪ НЕЙТРАЛЬНО
  303  STRAXUSDT      +0.0 ⚪ НЕЙТРАЛЬНО
  304  TAOUSDT        +0.0 ⚪ НЕЙТРАЛЬНО
  305  TNSRUSDT       +0.0 ⚪ НЕЙТРАЛЬНО
  306  VANAUSDT       +0.0 ⚪ НЕЙТРАЛЬНО
  307  XLMUSDT        +0.0 ⚪ НЕЙТРАЛЬНО
  308  0GUSDT         -0.2 🔴 СЛАБО ПРОДАВАТЬ
  309  CGPTUSDT       -0.2 🔴 СЛАБО ПРОДАВАТЬ
  310  CHIPUSDT       -0.2 🔴 СЛАБО ПРОДАВАТЬ
  311  DOGEUSDT       -0.2 🔴 СЛАБО ПРОДАВАТЬ
  312  EDUUSDT        -0.2 🔴 СЛАБО ПРОДАВАТЬ
  313  LPTUSDT        -0.2 🔴 СЛАБО ПРОДАВАТЬ
  314  NEARUSDT       -0.2 🔴 СЛАБО ПРОДАВАТЬ
  315  OGNUSDT        -0.2 🔴 СЛАБО ПРОДАВАТЬ
  316  PROMUSDT       -0.2 🔴 СЛАБО ПРОДАВАТЬ
  317  RAYUSDT        -0.2 🔴 СЛАБО ПРОДАВАТЬ
  318  ROBOUSDT       -0.2 🔴 СЛАБО ПРОДАВАТЬ
  319  SOLUSDT        -0.2 🔴 СЛАБО ПРОДАВАТЬ
  320  STORJUSDT      -0.2 🔴 СЛАБО ПРОДАВАТЬ
  321  WINUSDT        -0.2 🔴 СЛАБО ПРОДАВАТЬ
  322  INTCBUSDT      -0.2 🔴 СЛАБО ПРОДАВАТЬ
  323  MSFTBUSDT      -0.2 🔴 СЛАБО ПРОДАВАТЬ
  324  1000SATSUSDT   -0.3 🔴 СЛАБО ПРОДАВАТЬ
  325  AIUSDT         -0.3 🔴 СЛАБО ПРОДАВАТЬ
  326  ARUSDT         -0.3 🔴 СЛАБО ПРОДАВАТЬ
  327  ASRUSDT        -0.3 🔴 СЛАБО ПРОДАВАТЬ
  328  BLURUSDT       -0.3 🔴 СЛАБО ПРОДАВАТЬ
  329  EGLDUSDT       -0.3 🔴 СЛАБО ПРОДАВАТЬ
  330  FETUSDT        -0.3 🔴 СЛАБО ПРОДАВАТЬ
  331  HIVEUSDT       -0.3 🔴 СЛАБО ПРОДАВАТЬ
  332  INITUSDT       -0.3 🔴 СЛАБО ПРОДАВАТЬ
